Series Name,Series Code,Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change
"Population, total",SP.POP.TOTL,Ukraine,UKR,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43822901,38000000,-7489648
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145,9441129,689282
"Population, total",SP.POP.TOTL,United Kingdom,GBR,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081234,67026292,66971395,2843122
"Population, total",SP.POP.TOTL,United States,USA,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,17227610
"Population, total",SP.POP.TOTL,Uruguay,URY,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260,3422794,41614
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100,35648100,5404900
"Population, total",SP.POP.TOTL,Vanuatu,VUT,263534,269927,276438,283218,290239,297298,304404,311685,319137,326740,63206
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,29838021,30193258,30529716,30741464,30563433,29825653,28971683,28490453,28199867,28301696,-1536325
"Population, total",SP.POP.TOTL,Viet Nam,VNM,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,7919117
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108041,107882,107712,107516,107281,107001,106669,106290,105870,105413,-2628
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749,5043612,966904
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,26984002,27753304,28516545,29274002,30034389,30790513,31546691,32284046,32981641,33696614,6712612
"Population, total",SP.POP.TOTL,Zambia,ZMB,15234976,15737793,16248230,16767761,17298054,17835893,18380477,18927715,19473125,20017675,4782699
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,13555422,13855753,14154937,14452704,14751101,15052184,15354608,15669666,15993524,16320537,2765115
